idLigneBonCommandeSortie,fk_BonCommandeSortie,Article,designation,quantiteProduitCommande,priorite,termine,source
374315,BC-2845,PJ00224,Saucisson,150,1,0,groupe_ethique_et_sante
374316,BC-2845,FS18SF800,Soupe aux cêpes,100,1,0,groupe_ethique_et_sante
374317,BC-2845,FS12MF993,spaghetti bolognaise,100,1,0,groupe_ethique_et_sante
374318,BC-2845,PJ00160,TORTITOS BACON,80,1,0,groupe_ethique_et_sante
366440,BC-2846,BC3707,Barre céréalière Fruits rouges,108,1,0,groupe_ethique_et_sante
366441,BC-2846,BC3706,Barre céréalière Raisin amande,108,1,0,groupe_ethique_et_sante
366442,BC-2846,PJ00083,Barre crisp caramel,280,1,0,groupe_ethique_et_sante
366443,BC-2846,PJ00236,Barre crisp chocolat 35g,550,1,0,groupe_ethique_et_sante
366445,BC-2846,PJ00237,Barre crisp coco 35g,250,1,0,groupe_ethique_et_sante
366444,BC-2846,PJ00241,Barre crisp fruits rouges 35g,160,1,0,groupe_ethique_et_sante
366446,BC-2846,BC3719,Barre Praline,150,1,0,groupe_ethique_et_sante
366447,BC-2846,BC3704,barre Vanille Amande (low sugar),150,1,0,groupe_ethique_et_sante
366421,BC-2846,10357,Biscuits au chocolat,1008,1,0,groupe_ethique_et_sante
366422,BC-2846,13129,Biscuits fruits rouges,648,1,0,groupe_ethique_et_sante
366423,BC-2846,08730,Biscuits orange,648,1,0,groupe_ethique_et_sante
366448,BC-2846,12481,Boisson chocolat intense,150,1,0,groupe_ethique_et_sante
366460,BC-2846,PJ00288,Bouteille boisson café,96,1,0,groupe_ethique_et_sante
366459,BC-2846,PJ00153,BOUTEILLE BOISSON FRAMBOISE,96,1,0,groupe_ethique_et_sante
366461,BC-2846,PJ00287,Bouteille boisson vanille,96,1,0,groupe_ethique_et_sante
366427,BC-2846,FS15O342,Bulles oignons,168,1,0,groupe_ethique_et_sante
366428,BC-2846,PJ00129,Chips Barbecue,80,1,0,groupe_ethique_et_sante
366426,BC-2846,PJ00130,Chips oignon,80,1,0,groupe_ethique_et_sante
366439,BC-2846,PJ00292,Chorizo,150,1,0,groupe_ethique_et_sante
366456,BC-2846,CNTRANS,Confort Transit (90),10,1,0,groupe_ethique_et_sante
366454,BC-2846,BG435,Entremets poire belle hel,100,1,0,groupe_ethique_et_sante
366455,BC-2846,BG504,Entremets pomme caramel,100,1,0,groupe_ethique_et_sante
366453,BC-2846,BG207,Entremets praline,100,1,0,groupe_ethique_et_sante
366449,BC-2846,BG427,Flan Patissier cafe,100,1,0,groupe_ethique_et_sante
366451,BC-2846,BG426,Flan Patissier chocolat,200,1,0,groupe_ethique_et_sante
366450,BC-2846,BG434,Flan Patissier citron,100,1,0,groupe_ethique_et_sante
366452,BC-2846,BG425,Flan Patissier vanille,200,1,0,groupe_ethique_et_sante
366458,BC-2846,PJ002239-01,Graines Mélanges,130,1,0,groupe_ethique_et_sante
366457,BC-2846,CNMGF2,M.G.F.2,30,1,0,groupe_ethique_et_sante
366431,BC-2846,CNOMEGA,OMEGA 3,30,1,0,groupe_ethique_et_sante
366432,BC-2846,FS18OF903,omelette fromage,100,1,0,groupe_ethique_et_sante
366424,BC-2846,PJ00131,PAIN CEREALES (2 tranches),2304,1,0,groupe_ethique_et_sante
366425,BC-2846,FS17,Pain de mie (2 tranches),900,1,0,groupe_ethique_et_sante
366436,BC-2846,PJ00147,Pate Fusilli,140,1,0,groupe_ethique_et_sante
366438,BC-2846,PJ00224,Saucisson,300,1,0,groupe_ethique_et_sante
366437,BC-2846,FS12MF993,spaghetti bolognaise,100,1,0,groupe_ethique_et_sante
366434,BC-2846,PC01691,Stick draineur thé citron 7g,900,1,0,groupe_ethique_et_sante
366433,BC-2846,PC01692,Stick draineur thé fruits rouges  7g,300,1,0,groupe_ethique_et_sante
366435,BC-2846,PC01693,Stick draineur thé pêche 7g,900,1,0,groupe_ethique_et_sante
366429,BC-2846,PJ00160,TORTITOS BACON,80,1,0,groupe_ethique_et_sante
366430,BC-2846,PJ00159,TORTITOS POULET MAÏS,80,1,0,groupe_ethique_et_sante
372947,BC-2847,BC3707,Barre céréalière Fruits rouges,216,1,0,groupe_ethique_et_sante
372948,BC-2847,BC3706,Barre céréalière Raisin amande,108,1,0,groupe_ethique_et_sante
372949,BC-2847,PJ00083,Barre crisp caramel,224,1,0,groupe_ethique_et_sante
372950,BC-2847,PJ00236,Barre crisp chocolat 35g,200,1,0,groupe_ethique_et_sante
372951,BC-2847,PJ00237,Barre crisp coco 35g,150,1,0,groupe_ethique_et_sante
372952,BC-2847,PJ00241,Barre crisp fruits rouges 35g,40,1,0,groupe_ethique_et_sante
372953,BC-2847,BC3719,Barre Praline,150,1,0,groupe_ethique_et_sante
372954,BC-2847,BC3704,barre Vanille Amande (low sugar),300,1,0,groupe_ethique_et_sante
372955,BC-2847,PJ00178,Biscuit cacao pépite chocolat,504,1,0,groupe_ethique_et_sante
372956,BC-2847,10357,Biscuits au chocolat,1800,1,0,groupe_ethique_et_sante
372957,BC-2847,13129,Biscuits fruits rouges,504,1,0,groupe_ethique_et_sante
372958,BC-2847,08730,Biscuits orange,504,1,0,groupe_ethique_et_sante
372959,BC-2847,13579,Boisson chocolat au lait,150,1,0,groupe_ethique_et_sante
372960,BC-2847,PB01019,Boisson Pomme sans gluten,150,1,0,groupe_ethique_et_sante
372961,BC-2847,PJ00284,Bouchées chocolat blanc,200,1,0,groupe_ethique_et_sante
372962,BC-2847,PJ00283,Bouchées chocolat noir,200,1,0,groupe_ethique_et_sante
372963,BC-2847,PJ00153,BOUTEILLE BOISSON FRAMBOISE,48,1,0,groupe_ethique_et_sante
372964,BC-2847,PJ00157,BOUTEILLE BOISSON PÊCHE-PASSION,48,1,0,groupe_ethique_et_sante
372965,BC-2847,FS15MWMO0340,Bulles chili,168,1,0,groupe_ethique_et_sante
372966,BC-2847,FS15O342,Bulles oignons,168,1,0,groupe_ethique_et_sante
372967,BC-2847,PJ00129,Chips Barbecue,80,1,0,groupe_ethique_et_sante
372968,BC-2847,PJ00292,Chorizo,250,1,0,groupe_ethique_et_sante
372969,BC-2847,PB01020,Dessert choco caramel pépite sans gluten,150,1,0,groupe_ethique_et_sante
372970,BC-2847,12771,Desserts chocolat,300,1,0,groupe_ethique_et_sante
372998,BC-2847,ENxxx,Entremet délice aux fraises,150,1,0,groupe_ethique_et_sante
372971,BC-2847,BG418,Entremets banane,100,1,0,groupe_ethique_et_sante
372972,BC-2847,BG435,Entremets poire belle hel,100,1,0,groupe_ethique_et_sante
372973,BC-2847,BG504,Entremets pomme caramel,100,1,0,groupe_ethique_et_sante
372974,BC-2847,BG426,Flan Patissier chocolat,100,1,0,groupe_ethique_et_sante
372975,BC-2847,CNMGF2,M.G.F.2,90,1,0,groupe_ethique_et_sante
372976,BC-2847,08212,Omelette fines herbes,150,1,0,groupe_ethique_et_sante
372977,BC-2847,FS18OF903,omelette fromage,100,1,0,groupe_ethique_et_sante
372978,BC-2847,BG325,Omelette mediterraneenne,100,1,0,groupe_ethique_et_sante
372979,BC-2847,PJ00131,PAIN CEREALES (2 tranches),1440,1,0,groupe_ethique_et_sante
372980,BC-2847,FS171RN310302,Pain de mie,16,1,0,groupe_ethique_et_sante
372981,BC-2847,FS17,Pain de mie (2 tranches),900,1,0,groupe_ethique_et_sante
372982,BC-2847,FS12MF139,parmentier,100,1,0,groupe_ethique_et_sante
372983,BC-2847,PJ00147,Pate Fusilli,280,1,0,groupe_ethique_et_sante
372984,BC-2847,11664,Puree de pomme de terre,150,1,0,groupe_ethique_et_sante
372985,BC-2847,PJ00149,Riz,300,1,0,groupe_ethique_et_sante
372986,BC-2847,SRNPC1,Sacs grand format,250,1,0,groupe_ethique_et_sante
372987,BC-2847,PJ00224,Saucisson,400,1,0,groupe_ethique_et_sante
372988,BC-2847,FS18SF800,Soupe aux cêpes,100,1,0,groupe_ethique_et_sante
372989,BC-2847,08223,Soupe de legumes,150,1,0,groupe_ethique_et_sante
372990,BC-2847,A0285-01,Soupe marocaine,150,1,0,groupe_ethique_et_sante
372991,BC-2847,FS12MF993,spaghetti bolognaise,100,1,0,groupe_ethique_et_sante
372992,BC-2847,PC01691,Stick draineur thé citron 7g,600,1,0,groupe_ethique_et_sante
372993,BC-2847,PC01692,Stick draineur thé fruits rouges  7g,600,1,0,groupe_ethique_et_sante
372994,BC-2847,PC01693,Stick draineur thé pêche 7g,600,1,0,groupe_ethique_et_sante
372995,BC-2847,BG602,Supreme de volaille,100,1,0,groupe_ethique_et_sante
372996,BC-2847,08205,Veloute asperge,150,1,0,groupe_ethique_et_sante
372997,BC-2847,BG618,Veloute poireau,100,1,0,groupe_ethique_et_sante
367841,BC-2848,BC3707,Barre céréalière Fruits rouges,216,1,0,groupe_ethique_et_sante
367842,BC-2848,BC3706,Barre céréalière Raisin amande,324,1,0,groupe_ethique_et_sante
367843,BC-2848,PJ00083,Barre crisp caramel,560,1,0,groupe_ethique_et_sante
367844,BC-2848,PJ00236,Barre crisp chocolat 35g,500,1,0,groupe_ethique_et_sante
367845,BC-2848,PJ00237,Barre crisp coco 35g,500,1,0,groupe_ethique_et_sante
367846,BC-2848,PJ00241,Barre crisp fruits rouges 35g,400,1,0,groupe_ethique_et_sante
367847,BC-2848,BC3704,barre Vanille Amande (low sugar),150,1,0,groupe_ethique_et_sante
367848,BC-2848,10357,Biscuits au chocolat,1800,1,0,groupe_ethique_et_sante
367849,BC-2848,13129,Biscuits fruits rouges,1080,1,0,groupe_ethique_et_sante
367850,BC-2848,08730,Biscuits orange,1080,1,0,groupe_ethique_et_sante
367851,BC-2848,PJ00153,BOUTEILLE BOISSON FRAMBOISE,60,1,0,groupe_ethique_et_sante
367852,BC-2848,13588,Cappuccino,150,1,0,groupe_ethique_et_sante
367853,BC-2848,PJ00129,Chips Barbecue,160,1,0,groupe_ethique_et_sante
367854,BC-2848,PJ00130,Chips oignon,160,1,0,groupe_ethique_et_sante
367855,BC-2848,PB00684-01,Crêpes banane chocolat,150,1,0,groupe_ethique_et_sante
367856,BC-2848,12771,Desserts chocolat,150,1,0,groupe_ethique_et_sante
367857,BC-2848,BG400,Entremets noix de coco,100,1,0,groupe_ethique_et_sante
367858,BC-2848,BG504,Entremets pomme caramel,100,1,0,groupe_ethique_et_sante
367859,BC-2848,BG428,Flan Patissier caramel,100,1,0,groupe_ethique_et_sante
367860,BC-2848,BG434,Flan Patissier citron,100,1,0,groupe_ethique_et_sante
367861,BC-2848,BG424,Flan Patissier pistache,100,1,0,groupe_ethique_et_sante
367862,BC-2848,BG425,Flan Patissier vanille,100,1,0,groupe_ethique_et_sante
367863,BC-2848,CNMGF2,M.G.F.2,60,1,0,groupe_ethique_et_sante
367864,BC-2848,CNMULTIVIT,Multi-vitamines et Minéraux,30,1,0,groupe_ethique_et_sante
367865,BC-2848,PJ00131,PAIN CEREALES (2 tranches),2016,1,0,groupe_ethique_et_sante
367866,BC-2848,FS17,Pain de mie (2 tranches),450,1,0,groupe_ethique_et_sante
367867,BC-2848,sp-plaqCN,Plaquette CN A5 3 volets,50,1,0,groupe_ethique_et_sante
367868,BC-2848,PRNPC3,Pulvérisateurs,50,1,0,groupe_ethique_et_sante
367869,BC-2848,PJ00224,Saucisson,100,1,0,groupe_ethique_et_sante
367870,BC-2848,FS12MF993,spaghetti bolognaise,100,1,0,groupe_ethique_et_sante
367871,BC-2848,PC01691,Stick draineur thé citron 7g,900,1,0,groupe_ethique_et_sante
367872,BC-2848,PC01692,Stick draineur thé fruits rouges  7g,900,1,0,groupe_ethique_et_sante
367873,BC-2848,PC01693,Stick draineur thé pêche 7g,900,1,0,groupe_ethique_et_sante
367874,BC-2848,PJ00159,TORTITOS POULET MAÏS,160,1,0,groupe_ethique_et_sante
371703,BC-2849,BC3706,Barre céréalière Raisin amande,108,1,0,groupe_ethique_et_sante
371704,BC-2849,PJ00083,Barre crisp caramel,112,1,0,groupe_ethique_et_sante
371705,BC-2849,PJ00236,Barre crisp chocolat 35g,1000,1,0,groupe_ethique_et_sante
371706,BC-2849,PJ00237,Barre crisp coco 35g,1000,1,0,groupe_ethique_et_sante
371707,BC-2849,BC3704,barre Vanille Amande (low sugar),150,1,0,groupe_ethique_et_sante
371708,BC-2849,PJ00178,Biscuit cacao pépite chocolat,1440,1,0,groupe_ethique_et_sante
371709,BC-2849,10357,Biscuits au chocolat,2880,1,0,groupe_ethique_et_sante
371710,BC-2849,13129,Biscuits fruits rouges,1080,1,0,groupe_ethique_et_sante
371711,BC-2849,08730,Biscuits orange,720,1,0,groupe_ethique_et_sante
371712,BC-2849,13579,Boisson chocolat au lait,300,1,0,groupe_ethique_et_sante
371713,BC-2849,12481,Boisson chocolat intense,300,1,0,groupe_ethique_et_sante
371714,BC-2849,08218,Boisson orange,150,1,0,groupe_ethique_et_sante
371715,BC-2849,PJ00288,Bouteille boisson café,48,1,0,groupe_ethique_et_sante
371716,BC-2849,13588,Cappuccino,450,1,0,groupe_ethique_et_sante
371717,BC-2849,BG357,Cereales vanille,100,1,0,groupe_ethique_et_sante
371718,BC-2849,PJ00129,Chips Barbecue,160,1,0,groupe_ethique_et_sante
371719,BC-2849,PJ00130,Chips oignon,80,1,0,groupe_ethique_et_sante
371720,BC-2849,CNTRANS,Confort Transit (90),10,1,0,groupe_ethique_et_sante
371721,BC-2849,BG309,Crepes orange,100,1,0,groupe_ethique_et_sante
371722,BC-2849,12771,Desserts chocolat,150,1,0,groupe_ethique_et_sante
371723,BC-2849,BG207,Entremets praline,100,1,0,groupe_ethique_et_sante
371724,BC-2849,BG427,Flan Patissier cafe,200,1,0,groupe_ethique_et_sante
371725,BC-2849,BG428,Flan Patissier caramel,100,1,0,groupe_ethique_et_sante
371726,BC-2849,BG426,Flan Patissier chocolat,300,1,0,groupe_ethique_et_sante
371727,BC-2849,BG434,Flan Patissier citron,100,1,0,groupe_ethique_et_sante
371728,BC-2849,BG424,Flan Patissier pistache,100,1,0,groupe_ethique_et_sante
371729,BC-2849,BG425,Flan Patissier vanille,200,1,0,groupe_ethique_et_sante
371730,BC-2849,PJ002239-01,Graines Mélanges,260,1,0,groupe_ethique_et_sante
371731,BC-2849,CNMGF2,M.G.F.2,120,1,0,groupe_ethique_et_sante
371732,BC-2849,PJ00131,PAIN CEREALES (2 tranches),1440,1,0,groupe_ethique_et_sante
371733,BC-2849,FS17,Pain de mie (2 tranches),750,1,0,groupe_ethique_et_sante
371734,BC-2849,sp-plaqCN,Plaquette CN A5 3 volets,150,1,0,groupe_ethique_et_sante
371735,BC-2849,PRNPC3,Pulvérisateurs,50,1,0,groupe_ethique_et_sante
371736,BC-2849,PC01691,Stick draineur thé citron 7g,900,1,0,groupe_ethique_et_sante
371737,BC-2849,PC01692,Stick draineur thé fruits rouges  7g,600,1,0,groupe_ethique_et_sante
371738,BC-2849,PC01693,Stick draineur thé pêche 7g,1200,1,0,groupe_ethique_et_sante
367817,BC-2850,BC3707,Barre céréalière Fruits rouges,108,1,0,groupe_ethique_et_sante
367818,BC-2850,BC3706,Barre céréalière Raisin amande,108,1,0,groupe_ethique_et_sante
367819,BC-2850,PJ00083,Barre crisp caramel,112,1,0,groupe_ethique_et_sante
367820,BC-2850,PJ00236,Barre crisp chocolat 35g,200,1,0,groupe_ethique_et_sante
367821,BC-2850,PJ00237,Barre crisp coco 35g,150,1,0,groupe_ethique_et_sante
367822,BC-2850,PJ00241,Barre crisp fruits rouges 35g,120,1,0,groupe_ethique_et_sante
367823,BC-2850,PJ00178,Biscuit cacao pépite chocolat,360,1,0,groupe_ethique_et_sante
367824,BC-2850,13129,Biscuits fruits rouges,504,1,0,groupe_ethique_et_sante
367825,BC-2850,08730,Biscuits orange,576,1,0,groupe_ethique_et_sante
367826,BC-2850,PJ00153,BOUTEILLE BOISSON FRAMBOISE,96,1,0,groupe_ethique_et_sante
367827,BC-2850,PJ00157,BOUTEILLE BOISSON PÊCHE-PASSION,48,1,0,groupe_ethique_et_sante
367828,BC-2850,PJ00129,Chips Barbecue,80,1,0,groupe_ethique_et_sante
367829,BC-2850,PJ00292,Chorizo,100,1,0,groupe_ethique_et_sante
367830,BC-2850,PB01240,Crêpes pomme caramel,150,1,0,groupe_ethique_et_sante
367831,BC-2850,BG426,Flan Patissier chocolat,100,1,0,groupe_ethique_et_sante
367832,BC-2850,BG434,Flan Patissier citron,100,1,0,groupe_ethique_et_sante
367833,BC-2850,BG425,Flan Patissier vanille,100,1,0,groupe_ethique_et_sante
367834,BC-2850,CNMGF2,M.G.F.2,30,1,0,groupe_ethique_et_sante
367835,BC-2850,PJ00131,PAIN CEREALES (2 tranches),432,1,0,groupe_ethique_et_sante
367836,BC-2850,PJ00147,Pate Fusilli,140,1,0,groupe_ethique_et_sante
367837,BC-2850,PC01691,Stick draineur thé citron 7g,300,1,0,groupe_ethique_et_sante
367838,BC-2850,PC01693,Stick draineur thé pêche 7g,300,1,0,groupe_ethique_et_sante
367839,BC-2850,PJ00160,TORTITOS BACON,80,1,0,groupe_ethique_et_sante
367840,BC-2850,PJ00159,TORTITOS POULET MAÏS,80,1,0,groupe_ethique_et_sante
369923,BC-2851,CNSTRESS2,Anti stress 2,30,1,0,groupe_ethique_et_sante
369924,BC-2851,11786,Barre (Cacao)chocolat ronde,252,1,0,groupe_ethique_et_sante
369925,BC-2851,BC3707,Barre céréalière Fruits rouges,216,1,0,groupe_ethique_et_sante
369926,BC-2851,BC3706,Barre céréalière Raisin amande,216,1,0,groupe_ethique_et_sante
369927,BC-2851,PJ00083,Barre crisp caramel,336,1,0,groupe_ethique_et_sante
369928,BC-2851,PJ00236,Barre crisp chocolat 35g,500,1,0,groupe_ethique_et_sante
369929,BC-2851,PJ00237,Barre crisp coco 35g,100,1,0,groupe_ethique_et_sante
369930,BC-2851,PJ00241,Barre crisp fruits rouges 35g,200,1,0,groupe_ethique_et_sante
369931,BC-2851,BC3704,barre Vanille Amande (low sugar),150,1,0,groupe_ethique_et_sante
369932,BC-2851,PJ00178,Biscuit cacao pépite chocolat,1152,1,0,groupe_ethique_et_sante
369933,BC-2851,10357,Biscuits au chocolat,1800,1,0,groupe_ethique_et_sante
369934,BC-2851,13129,Biscuits fruits rouges,360,1,0,groupe_ethique_et_sante
369935,BC-2851,08730,Biscuits orange,720,1,0,groupe_ethique_et_sante
369936,BC-2851,PJ00288,Bouteille boisson café,72,1,0,groupe_ethique_et_sante
369937,BC-2851,PJ00153,BOUTEILLE BOISSON FRAMBOISE,96,1,0,groupe_ethique_et_sante
369938,BC-2851,PJ00287,Bouteille boisson vanille,72,1,0,groupe_ethique_et_sante
369939,BC-2851,FS15MO341,Bulles BARBECUE,336,1,0,groupe_ethique_et_sante
369940,BC-2851,13588,Cappuccino,300,1,0,groupe_ethique_et_sante
369941,BC-2851,BG355,Cereales pomme cannelle,100,1,0,groupe_ethique_et_sante
369942,BC-2851,PJ00129,Chips Barbecue,80,1,0,groupe_ethique_et_sante
369943,BC-2851,PJ00130,Chips oignon,160,1,0,groupe_ethique_et_sante
369944,BC-2851,PJ00292,Chorizo,50,1,0,groupe_ethique_et_sante
369945,BC-2851,12771,Desserts chocolat,300,1,0,groupe_ethique_et_sante
369946,BC-2851,BG400,Entremets noix de coco,200,1,0,groupe_ethique_et_sante
369947,BC-2851,BG207,Entremets praline,100,1,0,groupe_ethique_et_sante
369948,BC-2851,BG427,Flan Patissier cafe,200,1,0,groupe_ethique_et_sante
369949,BC-2851,BG428,Flan Patissier caramel,200,1,0,groupe_ethique_et_sante
369950,BC-2851,BG434,Flan Patissier citron,200,1,0,groupe_ethique_et_sante
369951,BC-2851,BG424,Flan Patissier pistache,100,1,0,groupe_ethique_et_sante
369952,BC-2851,BG425,Flan Patissier vanille,100,1,0,groupe_ethique_et_sante
369953,BC-2851,PJ002239-01,Graines Mélanges,130,1,0,groupe_ethique_et_sante
369954,BC-2851,CNMGF2,M.G.F.2,30,1,0,groupe_ethique_et_sante
369955,BC-2851,PJ00131,PAIN CEREALES (2 tranches),2160,1,0,groupe_ethique_et_sante
369956,BC-2851,FS17,Pain de mie (2 tranches),750,1,0,groupe_ethique_et_sante
369957,BC-2851,PB01237,Pancake,130,1,0,groupe_ethique_et_sante
369958,BC-2851,sp-plaqCN,Plaquette CN A5 3 volets,50,1,0,groupe_ethique_et_sante
369959,BC-2851,PRNPC3,Pulvérisateurs,100,1,0,groupe_ethique_et_sante
369960,BC-2851,PJ00224,Saucisson,100,1,0,groupe_ethique_et_sante
369961,BC-2851,SRNPC4,SHAKER,75,1,0,groupe_ethique_et_sante
369962,BC-2851,PC01691,Stick draineur thé citron 7g,600,1,0,groupe_ethique_et_sante
369963,BC-2851,PC01692,Stick draineur thé fruits rouges  7g,600,1,0,groupe_ethique_et_sante
369964,BC-2851,PC01693,Stick draineur thé pêche 7g,600,1,0,groupe_ethique_et_sante
369965,BC-2851,PJ00160,TORTITOS BACON,240,1,0,groupe_ethique_et_sante
369966,BC-2851,PJ00159,TORTITOS POULET MAÏS,160,1,0,groupe_ethique_et_sante
370119,BC-2852,BC3706,Barre céréalière Raisin amande,108,1,0,groupe_ethique_et_sante
370120,BC-2852,PJ00083,Barre crisp caramel,112,1,0,groupe_ethique_et_sante
370121,BC-2852,PJ00236,Barre crisp chocolat 35g,250,1,0,groupe_ethique_et_sante
370122,BC-2852,PJ00237,Barre crisp coco 35g,50,1,0,groupe_ethique_et_sante
370123,BC-2852,PJ00241,Barre crisp fruits rouges 35g,240,1,0,groupe_ethique_et_sante
370124,BC-2852,11787,Barre noix de coco (ronde),126,1,0,groupe_ethique_et_sante
370125,BC-2852,PJ00178,Biscuit cacao pépite chocolat,360,1,0,groupe_ethique_et_sante
370126,BC-2852,10357,Biscuits au chocolat,2520,1,0,groupe_ethique_et_sante
